Apple Id Number,Apple Music Subscription,Artist Name,Build Version,Client IP Address,Content Name,Content Provider,Content Specific Type,Device Identifier,End Position In Milliseconds,End Reason Type,Event End Timestamp,Event Reason Hint Type,Event Received Timestamp,Event Start Timestamp,Event Type,Feature Name,Genre,Item Type,Media Duration In Milliseconds,Media Type,Metrics Bucket Id,Metrics Client Id,Milliseconds Since Play,Offline,Play Duration Milliseconds,Source Type,Start Position In Milliseconds,Store Country Name,UTC Offset In Seconds
296982057,TRUE,"Sam Smith, Normani","AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Dancing With A Stranger,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,171990.0,NATURAL_END_OF_TRACK,2021-01-18T13:39:26.344Z,NOT_SPECIFIED,2021-01-18T13:39:27.065Z,2021-01-18T13:36:34.354Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,171990.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,721,FALSE,171990.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Rudimental,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Sun Comes Up (feat. James Arthur),The Warner Music Group,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,232687.0,NATURAL_END_OF_TRACK,2021-01-18T13:36:33.988Z,NOT_SPECIFIED,2021-01-18T13:36:34.897Z,2021-01-18T13:32:41.301Z,PLAY_END,siri,Dance,ITUNES_STORE_CONTENT,232687.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,909,FALSE,232687.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,MAX,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Missed Calls (feat. Hayley Kiyoko),The Orchard Enterprises Inc.,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,154969.0,NATURAL_END_OF_TRACK,2021-01-18T13:32:41.415Z,NOT_SPECIFIED,2021-01-18T13:32:42.027Z,2021-01-18T13:30:06.446Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,154969.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,612,FALSE,154969.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Captain Cuts,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Stuck In My Head (feat. AJ Mitchell),Sony Music,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,161123.0,NATURAL_END_OF_TRACK,2021-01-18T13:30:06.498Z,NOT_SPECIFIED,2021-01-18T13:30:07.121Z,2021-01-18T13:27:25.375Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,161123.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,623,FALSE,161123.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Ed Sheeran,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Drunk,The Warner Music Group,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,200156.0,NATURAL_END_OF_TRACK,2021-01-18T13:27:25.994Z,NOT_SPECIFIED,2021-01-18T13:27:26.690Z,2021-01-18T13:24:05.838Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,200156.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,696,FALSE,200156.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Juke Ross,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Trading Places,Sony Music,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,223190.0,NATURAL_END_OF_TRACK,2021-01-18T13:24:05.729Z,NOT_SPECIFIED,2021-01-18T13:24:06.255Z,2021-01-18T13:20:22.539Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,223190.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,526,FALSE,223190.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,"James Arthur, Anne-Marie","AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Rewrite the Stars,The Warner Music Group,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,218360.0,NATURAL_END_OF_TRACK,2021-01-18T13:20:22.576Z,NOT_SPECIFIED,2021-01-18T13:20:23.261Z,2021-01-18T13:16:44.216Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,218360.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,685,FALSE,218360.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Mabel,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Don't Call Me Up,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,178375.0,NATURAL_END_OF_TRACK,2021-01-18T13:16:44.255Z,NOT_SPECIFIED,2021-01-18T13:16:45.058Z,2021-01-18T13:13:45.880Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,178375.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,803,FALSE,178375.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,"Stefflon Don, JP Cooper, Banx & Ranx","AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,The Reason Why,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,186131.0,NATURAL_END_OF_TRACK,2021-01-18T13:13:45.870Z,NOT_SPECIFIED,2021-01-18T13:13:46.546Z,2021-01-18T13:10:39.739Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,186131.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,676,FALSE,186131.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,"Liam Payne, Cheat Codes","AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Live Forever,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,174846.0,NATURAL_END_OF_TRACK,2021-01-18T13:10:39.832Z,NOT_SPECIFIED,2021-01-18T13:10:40.496Z,2021-01-18T13:07:44.986Z,PLAY_END,siri,Dance,ITUNES_STORE_CONTENT,174846.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,664,FALSE,174846.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
